Абдоулафет
Абдрахман
Абдрим
Абдулай
Абдулвагаб
Абдулгамид
Абдуль
Абдумуталім
Абдурахман
Абдурєфій
Абіджан
Абількерім
Абрам
Август
Августин
Авдій
Авенір
Аверкій
Аветис
Авксентій
Авнат
Авраам
Аврам
Аврелій
Аврентій
Автандил
Автоном
Авхадей
Авхатій
Агарон
Агатолій
Агафангел
Агафон
Агафоній
Агіль
Адайберт
Адальберт
Адам
Адольф
Адоній
Адріан
Азад
Азай
Азамат
Азат
Азіз
Айвар
Айдер
Айзик
Айказ
Айман
Айр
Акиндин
Акім
Акіф
Акмурод
Акоп
Аксент
Аксентій
Аладар
Аладін
Алам
Алан
Алгід
Алгірнас
Алевтин
Алексій
Алентин
Алзавах
Алі
Алігол
Алігусейн
Аліей
Алізаман
Алізар
Алік
Алім
Алімардан
Алімджан
Алін
Аліна
Аліназар
Алінжан
Аліпашай
Алісафай
Алісейран
Аліслав
Аліф
Аліх
Алішер
Алла
Аллаяр
Алмат
Аловсат
Алоїс
Алсафа
Алтай
Аль-Хасан
Альберт
Альбін
Альгіс
Альмінак
Альпонас
Альфонс
Альфред
Амазасп
Аман
Амансіон
Амантай
Амброзій
Амбросій
Амвросій
Амет
Амзей
Амиран
Аміграм
Амін
Амір
Амос
Амрозій
Ананій
Анас
Анастас
Анастасій
Анастасія
Анатолій
Анафон
Анвар
Ангеліна
Анджей
Андріан
Андріана
Андрієн
Андрій
Андріян
Андрон
Андроній
Андроп
Андрюс
Андрiй
Анжела
Анзор
Аніко
Анісім
Анна
Аннагельдій
Антип
Антін
Антіп
Антон
Антонас
Антоній
Антоніна
Анушеван
Анфон
Апльгімант
Аполінарій
Аполіт
Аполон
Аполоній
Арарат
Арафон
Арбен
Арбі
Арвід
Арвідас
Арен
Арис
Арисон
Ариф
Арістарх
Аркадій
Армен
Арменак
Армнак
Арнис
Арнольд
Арон
Арпад
Арсен
Арсеній
Арсент
Арсентій
Арталаз
Артап
Артах
Арташес
Артем
Артемій
Артемон
Артур
Артуш
Арутян
Архип
Арцруні
Арчіл
Аршак
Асан
Асафат
Асіф
Аскольд
Аслам
Асламбек
Аслан
Асхат
Атай
Аттіла
Аукеш
Афанасій
Афган
Афеф
Афіз
Афкан
Афоній
Африкан
Афтанділ
Ахан
Ахмат
Ахмед
Ахмедзанір
Ахметзян
Ахсарбек
Ахтем
Ашот
Аюб
Багам
Багдасар
Баграт
Байзавій
Бакитжан
Бакір
Балаж
Балинт
Балл
Баран
Барат
Барій
Барталомій
Бахтіяр
Бейль
Бекир
Бекір
Белан
Бенедикт
Бенямін
Бербалай
Бердій
Бернард
Бернат
Берталон
Бертоломій
Бертолон
Бес
Бесарион
Бехбалай
Боб
Бобиль
Богдан
Богдана
Богодан
Боголеп
Боголюб
Богуслав
Болеслав
Болман
Болотбек
Болрис
Бонд
Борис
Борислав
Борух
Боян
Браніслав
Братифан
Браян
Брій
Броніслав
Булат
Бхард
В'ячеслав
Ваган
Вагиф
Вагих
Вагіф
Ваграм
Вадим
Вадленг
Вадуд
Вазген
Валдас
Валентин
Валентина
Валер'ян
Валерій
Валерія
Валех
Валилі
Валим
Валімзян
Вальд
Вальдемар
Вальтер
Ваніфатій
Вард
Вардан
Варій
Варлам
Варнава
Вартан
Варфоломій
Василина
Василь
Вахід
Вахтанг
Вацлав
Вачаган
Бенедикт
Верест
Вержил
Вехіл
Вікентій
Віктор
Вікторія
Вілен
Вільгельм
Вільям
Вілюс
Вілянс
Вінеамін
Вінер
Вінор
Віорел
Віра
Віргіній
Віссаріон
Віталій
Віталіна
Вітольд
Владислав
Владислава
Владлен
Влас
Войтех
Волеслав
Володимир
Вольдемар
Вольфанг
Всеволод
Вiктор
Вiталiй
Габбас
Габіб
Габор
Гавриїл
Гаврило
Гагік
Гадельзан
Гаджій
Гадир
Гай
Гайрат
Галактіон
